product_id,name,description,category,subcategory,brand,price,sku,in_stock,inventory_count,rating,review_count,attributes,date_added,is_featured,is_bestseller
1,Apple Wireless Computer A670,Difference form Republican thank line themselves. General will agent miss seven north soldier.,Electronics,Computers,Apple,602.9,ELE-COM-APP-2222,True,32,3.4,25,"{'color': 'Blue', 'weight': 13.32, 'dimensions': {'length': 13.4, 'width': 21.5, 'height': 74.1}}",2024-09-04,False,False
2,Apple Compact Computer V510,Sound air large executive answer. Policy price leave pretty very rest shoulder positive.,Electronics,Computers,Apple,1356.35,ELE-COM-APP-5575,True,82,3.2,102,"{'color': 'Silver', 'weight': 3.03, 'dimensions': {'length': 98.1, 'width': 62.1, 'height': 24.6}}",2024-10-13,False,False
3,Apple Premium Computer V845,Staff serve same matter carry. Mean account shoulder relate huge under. Church across key soldier leader role understand than. Fly skill avoid I data pressure.,Electronics,Computers,Apple,390.29,ELE-COM-APP-7989,True,96,4.4,338,"{'color': 'Gray', 'weight': 9.11, 'dimensions': {'length': 21.5, 'width': 4.2, 'height': 27.6}}",2025-04-10,True,False
4,Samsung Pro Computer O781,Break pressure real foot hour number of. Suddenly foot when together sign to.,Electronics,Computers,Samsung,1663.33,ELE-COM-SAM-6817,True,68,3.8,146,"{'color': 'Brown', 'weight': 17.28, 'dimensions': {'length': 72.1, 'width': 9.7, 'height': 36.7}}",2023-08-05,False,False
5,Samsung High-Performance Computer U423,Wide visit peace pass participant out. The although down camera west. Those produce on class.,Electronics,Computers,Samsung,1301.71,ELE-COM-SAM-1476,True,46,3.7,21,"{'color': 'Black', 'weight': 13.5, 'dimensions': {'length': 95.9, 'width': 1.2, 'height': 62.3}}",2024-01-17,True,True
6,Samsung Ultra Computer P531,Nor rate better control all. Wall property war at kid. Health away happy. We program dinner.,Electronics,Computers,Samsung,548.79,ELE-COM-SAM-9175,False,2,4.8,409,"{'color': 'Black', 'weight': 4.24, 'dimensions': {'length': 95.0, 'width': 35.8, 'height': 94.7}}",2023-08-20,False,False
7,Sony Pro Computer B672,Available area pressure technology. Prepare catch old doctor another situation leave.,Electronics,Computers,Sony,180.6,ELE-COM-SON-5697,True,52,4.4,0,"{'color': 'Silver', 'weight': 17.45, 'dimensions': {'length': 68.8, 'width': 58.0, 'height': 83.3}}",2023-11-08,False,True
8,Sony Compact Computer W441,Customer tonight finally within expert make her. Marriage weight action.,Electronics,Computers,Sony,456.54,ELE-COM-SON-8189,False,14,3.2,498,"{'color': 'Brown', 'weight': 7.6, 'dimensions': {'length': 51.4, 'width': 55.3, 'height': 55.5}}",2024-08-19,False,False
9,Dell Wireless Computer Z427,Card hair box tonight challenge. Maintain tough realize model leave. Board kid under song south economy their.,Electronics,Computers,Dell,2031.21,ELE-COM-DEL-3528,True,54,4.0,166,"{'color': 'Gray', 'weight': 6.37, 'dimensions': {'length': 4.0, 'width': 59.9, 'height': 95.8}}",2024-11-02,False,False
10,Dell Wireless Computer H473,Pay others administration policy. Bill relate they soon.,Electronics,Computers,Dell,2162.25,ELE-COM-DEL-3336,False,73,4.2,20,"{'color': 'Brown', 'weight': 12.49, 'dimensions': {'length': 72.6, 'width': 5.4, 'height': 89.6}}",2023-12-15,True,False
11,Dell Ultra Computer F913,Should international song appear. State thank guess step meet industry choice.,Electronics,Computers,Dell,1493.95,ELE-COM-DEL-4179,True,46,4.8,302,"{'color': 'Black', 'weight': 19.99, 'dimensions': {'length': 25.1, 'width': 82.7, 'height': 39.7}}",2024-05-13,False,False
12,Bose High-Performance Computer W387,Draw evening sense fast face. Hundred likely offer decision.,Electronics,Computers,Bose,117.44,ELE-COM-BOS-3051,True,68,3.7,135,"{'color': 'Brown', 'weight': 19.94, 'dimensions': {'length': 18.6, 'width': 92.9, 'height': 80.0}}",2023-09-20,False,False
13,Bose Smart Computer P600,Here class avoid bank need. Consumer under nor understand.,Electronics,Computers,Bose,1169.59,ELE-COM-BOS-6119,True,89,4.2,449,"{'color': 'Black', 'weight': 1.6, 'dimensions': {'length': 81.1, 'width': 54.4, 'height': 18.0}}",2025-01-10,False,False
14,LG Ultra Computer G346,Create commercial law system space laugh.,Electronics,Computers,LG,1093.53,ELE-COM-LG-8670,True,71,3.8,354,"{'color': 'Brown', 'weight': 17.41, 'dimensions': {'length': 29.4, 'width': 32.0, 'height': 3.6}}",2024-06-24,False,False
