transaction_id,product,category,quantity,unit_price,discount,total,transaction_date,transaction_time,region,store_id,customer_id,payment_method,is_online
1,Headphones,Electronics,5,161.49,0.0,807.45,2024-12-25,23:31:52,West,29,1749,Apple Pay,True
2,Shoes,Clothing,1,129.04,0.0,129.04,2022-07-26,00:00:00,South,47,3131,Cash,True
3,Tablet,Electronics,4,298.5,0.0,1194.0,2020-12-02,00:00:00,North,26,3613,PayPal,True
4,Sweater,Clothing,2,75.5,0.0,151.0,2025-01-12,23:31:52,West,12,3152,Google Pay,False
5,Bookshelf,Furniture,3,157.13,0.23,362.97,2024-08-29,23:31:52,North,11,196,Cash,False
6,Jeans,Clothing,4,91.11,0.0,364.44,2024-06-06,23:31:52,West,30,1086,Debit Card,True
7,Monitor,Electronics,2,215.98,0.26,319.65,2024-12-16,23:31:52,West,41,4719,Apple Pay,True
8,Sweater,Clothing,3,119.44,0.16,300.99,2024-06-27,23:31:52,South,8,326,Apple Pay,False
9,Toaster,Appliances,2,71.52,0.0,143.04,2023-12-23,00:00:00,South,10,3743,Cash,True
10,Mouse,Electronics,1,122.13,0.0,122.13,2024-11-23,00:00:00,South,13,4261,Debit Card,True
11,Coffee Maker,Appliances,1,43.75,0.19,35.44,2023-02-10,00:00:00,South,39,4272,PayPal,False
12,Chair,Furniture,4,443.99,0.0,1775.96,2024-10-22,23:31:52,East,42,580,Cash,True
13,Smartphone,Electronics,5,992.12,0.0,4960.6,2024-10-22,23:31:52,East,48,2275,Debit Card,False
14,T-shirt,Clothing,5,32.03,0.0,160.15,2024-05-13,00:00:00,South,18,1781,Credit Card,False
15,Monitor,Electronics,5,369.59,0.0,1847.95,2024-11-18,23:31:52,North,47,3245,PayPal,False
16,Monitor,Electronics,3,576.98,0.02,1696.32,2024-07-04,23:31:52,East,9,2862,Google Pay,True
17,Bed Frame,Furniture,2,1196.61,0.2,1914.58,2024-07-08,23:31:52,East,42,406,Credit Card,True
18,Blender,Appliances,4,147.34,0.21,465.59,2025-04-24,23:31:52,North,20,1698,Cash,False
19,Tablet,Electronics,1,217.17,0.17,180.25,2025-03-10,00:00:00,West,14,1474,Apple Pay,True
20,Headphones,Electronics,3,106.63,0.0,319.89,2024-12-21,23:31:52,East,16,1868,PayPal,True
21,Toaster,Appliances,4,90.7,0.0,362.8,2025-01-09,23:31:52,West,21,4795,Apple Pay,False
22,Desk,Furniture,5,150.36,0.05,714.21,2025-02-11,23:31:52,West,48,3891,Cash,True
23,Bed Frame,Furniture,3,507.4,0.0,1522.2,2024-07-18,23:31:52,South,12,3170,Apple Pay,True
24,Monitor,Electronics,5,578.25,0.0,2891.25,2024-07-24,23:31:52,North,43,4317,PayPal,True
25,Toaster,Appliances,4,21.42,0.0,85.68,2023-04-22,00:00:00,North,12,4646,Google Pay,True
26,Headphones,Electronics,4,258.98,0.0,1035.92,2023-11-21,00:00:00,West,30,1396,Credit Card,True
27,Monitor,Electronics,1,588.62,0.13,512.1,2024-08-07,23:31:52,South,50,2678,Credit Card,False
28,Monitor,Electronics,4,553.42,0.0,2213.68,2025-03-05,23:31:52,South,24,2344,Credit Card,True
29,Monitor,Electronics,3,234.93,0.0,704.79,2024-11-30,23:31:52,North,31,2498,Google Pay,True
